"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/etiquette/code-de-parrainage-wealthsimple","0","","code de parrainage wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[3]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/section/ul/li[4]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","https://wealthsimplebonus.ca/fr/etiquette/prime-wealthsimple","0","","prime wealthsimple","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/referral-bonus-eligibility","https://wealthsimplebonus.ca/fr/tag/referral-bonus-eligibility","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-referral-2026","https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-2026","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-bonus","https://wealthsimplebonus.ca/fr/tag/wealthsimple-bonus","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-referral-code","https://wealthsimplebonus.ca/fr/tag/wealthsimple-referral-code","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-sign-up-bonus","https://wealthsimplebonus.ca/fr/tag/wealthsimple-sign-up-bonus","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-promo-code","https://wealthsimplebonus.ca/fr/tag/wealthsimple-promo-code","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/category/comparisons","https://wealthsimplebonus.ca/fr/category/comparisons","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/2","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/section/ul/li[2]/article/div/header/div/span/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/core-vs-premium-vs-generation","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/core-vs-premium-vs-generation","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/nav/ol/li[3]/a","Navigation","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-vs-questrade-2025","https://wealthsimplebonus.ca/fr/categorie/comparaisons","0","","Comparaisons","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/header/div/div[3]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/etiquette/newton-vs-shakepay","0","","newton vs shakepay","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[3]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/newton-vs-shakepay","0","","newton vs shakepay","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/footer/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/etiquette/wealthsimple-crypto","0","","wealthsimple crypto","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[4]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/wealthsimple-crypto","0","","wealthsimple crypto","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/footer/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/etiquette/bitcoin-canada","0","","bitcoin canada","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[1]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/bitcoin-canada","0","","bitcoin canada","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/footer/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/bitcoin-canada","https://wealthsimplebonus.ca/fr/tag/bitcoin-canada","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","https://wealthsimplebonus.ca/fr/etiquette/trading-crypto","0","","trading crypto","404","Not Found","true","","","Root-Relative","//body/main/section[1]/article/div[2]/ul/li[2]/a","Content","HTML"
"Hyperlink","https://wealthsimplebonus.ca/fr/blogue","https://wealthsimplebonus.ca/fr/etiquette/trading-crypto","0","","trading crypto","404","Not Found","true","","","Root-Relative","//body/section/ul/li[1]/article/div/footer/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/crypto-trading","https://wealthsimplebonus.ca/fr/tag/crypto-trading","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/newton-vs-shakepay","https://wealthsimplebonus.ca/fr/tag/newton-vs-shakepay","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
"Hyperlink","https://wealthsimplebonus.ca/tag/wealthsimple-crypto","https://wealthsimplebonus.ca/fr/tag/wealthsimple-crypto","0","","FR","404","Not Found","true","","","Root-Relative","//body/header/div[2]/div/div/div[1]/a","Header","HTML"
